trial_name,mean_nse_base,mean_nse_target,mean_nse_overall,mean_r2,contrast_weight,feature_layers,freeze_schedule,ndays,dsm2_init_lr,dsm2_main_lr,dsm2_init_epochs,dsm2_main_epochs,schism_init_lr,schism_main_lr,schism_init_epochs,schism_main_epochs,suisun_init_lr,suisun_main_lr,suisun_init_epochs,suisun_main_epochs
Trial26,0.9584,0.9048,0.9316,0.9337,1.0,"[{'type': 'GRU', 'units': 32, 'trainable': True, 'name': 'lay1', 'return_sequences': True}, {'type': 'GRU', 'units': 16, 'trainable': True, 'name': 'lay2', 'return_sequences': False}]","[0, 0, 2]",105,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35
Trial27,0.9609,0.9064,0.9336,0.9357,1.0,"[{'type': 'GRU', 'units': 32, 'trainable': True, 'name': 'lay1', 'return_sequences': True}, {'type': 'GRU', 'units': 16, 'trainable': True, 'name': 'lay2', 'return_sequences': False}]","[0, 0, 2]",120,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35
Trial28,0.9568,0.9146,0.9357,0.9374,1.0,"[{'type': 'GRU', 'units': 38, 'trainable': True, 'name': 'lay1', 'return_sequences': True}, {'type': 'GRU', 'units': 19, 'trainable': True, 'name': 'lay2', 'return_sequences': False}]","[0, 0, 0]",90,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35
Trial29,0.9518,0.9144,0.9331,0.9356,1.0,"[{'type': 'GRU', 'units': 38, 'trainable': True, 'name': 'lay1', 'return_sequences': True}, {'type': 'GRU', 'units': 19, 'trainable': True, 'name': 'lay2', 'return_sequences': False}]","[0, 0, 0]",105,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35
Trial30,0.9496,0.9138,0.9317,0.9335,1.0,"[{'type': 'GRU', 'units': 38, 'trainable': True, 'name': 'lay1', 'return_sequences': True}, {'type': 'GRU', 'units': 19, 'trainable': True, 'name': 'lay2', 'return_sequences': False}]","[0, 0, 0]",120,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35
Trial31,0.9596,0.9125,0.936,0.9378,1.0,"[{'type': 'GRU', 'units': 38, 'trainable': True, 'name': 'lay1', 'return_sequences': True}, {'type': 'GRU', 'units': 19, 'trainable': True, 'name': 'lay2', 'return_sequences': False}]","[0, 0, 1]",90,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35
Trial32,0.9585,0.9137,0.9361,0.938,1.0,"[{'type': 'GRU', 'units': 38, 'trainable': True, 'name': 'lay1', 'return_sequences': True}, {'type': 'GRU', 'units': 19, 'trainable': True, 'name': 'lay2', 'return_sequences': False}]","[0, 0, 1]",105,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35
Trial33,0.9612,0.9136,0.9374,0.9392,1.0,"[{'type': 'GRU', 'units': 38, 'trainable': True, 'name': 'lay1', 'return_sequences': True}, {'type': 'GRU', 'units': 19, 'trainable': True, 'name': 'lay2', 'return_sequences': False}]","[0, 0, 1]",120,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35
Trial34,0.9666,0.9088,0.9377,0.9395,1.0,"[{'type': 'GRU', 'units': 38, 'trainable': True, 'name': 'lay1', 'return_sequences': True}, {'type': 'GRU', 'units': 19, 'trainable': True, 'name': 'lay2', 'return_sequences': False}]","[0, 0, 2]",90,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35
Trial35,0.9608,0.9096,0.9352,0.937,1.0,"[{'type': 'GRU', 'units': 38, 'trainable': True, 'name': 'lay1', 'return_sequences': True}, {'type': 'GRU', 'units': 19, 'trainable': True, 'name': 'lay2', 'return_sequences': False}]","[0, 0, 2]",105,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35
Trial36,0.9663,0.9133,0.9398,0.9414,1.0,"[{'type': 'GRU', 'units': 38, 'trainable': True, 'name': 'lay1', 'return_sequences': True}, {'type': 'GRU', 'units': 19, 'trainable': True, 'name': 'lay2', 'return_sequences': False}]","[0, 0, 2]",120,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35
