trial_name,mean_nse_base,mean_nse_suisun,mean_nse_overall,mean_r2,trunk_layers,freeze_schedule,ndays,dsm2_init_lr,dsm2_main_lr,dsm2_init_epochs,dsm2_main_epochs,schism_init_lr,schism_main_lr,schism_init_epochs,schism_main_epochs,multi_init_lr,multi_main_lr,multi_init_epochs,multi_main_epochs,source_weight,target_weight,contrast_weight,per_scenario_branch,branch_layers
Trial25,0.9534,0.9024,0.9279,0.9302,"[{'type': 'GRU', 'units': 32, 'return_sequences': True, 'name': 'lay1', 'trainable': True}, {'type': 'GRU', 'units': 16, 'return_sequences': False, 'name': 'lay2', 'trainable': True}]","[0, 0, 1]",90,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35,1.0,1.0,0.5,False,[]
Trial26,0.9525,0.9033,0.9279,0.9298,"[{'type': 'GRU', 'units': 32, 'return_sequences': True, 'name': 'lay1', 'trainable': True}, {'type': 'GRU', 'units': 16, 'return_sequences': False, 'name': 'lay2', 'trainable': True}]","[0, 0, 1]",90,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35,1.0,1.0,1.0,False,[]
Trial27,0.9556,0.9044,0.93,0.9322,"[{'type': 'GRU', 'units': 32, 'return_sequences': True, 'name': 'lay1', 'trainable': True}, {'type': 'GRU', 'units': 16, 'return_sequences': False, 'name': 'lay2', 'trainable': True}]","[0, 0, 1]",105,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35,1.0,1.0,0.5,False,[]
Trial28,0.9555,0.9036,0.9295,0.9316,"[{'type': 'GRU', 'units': 32, 'return_sequences': True, 'name': 'lay1', 'trainable': True}, {'type': 'GRU', 'units': 16, 'return_sequences': False, 'name': 'lay2', 'trainable': True}]","[0, 0, 1]",105,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35,1.0,1.0,1.0,False,[]
Trial29,0.9557,0.9052,0.9305,0.9323,"[{'type': 'GRU', 'units': 32, 'return_sequences': True, 'name': 'lay1', 'trainable': True}, {'type': 'GRU', 'units': 16, 'return_sequences': False, 'name': 'lay2', 'trainable': True}]","[0, 0, 1]",120,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35,1.0,1.0,0.5,False,[]
Trial30,0.952,0.9004,0.9262,0.9285,"[{'type': 'GRU', 'units': 32, 'return_sequences': True, 'name': 'lay1', 'trainable': True}, {'type': 'GRU', 'units': 16, 'return_sequences': False, 'name': 'lay2', 'trainable': True}]","[0, 0, 1]",120,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35,1.0,1.0,1.0,False,[]
Trial31,0.9574,0.894,0.9257,0.9281,"[{'type': 'GRU', 'units': 32, 'return_sequences': True, 'name': 'lay1', 'trainable': True}, {'type': 'GRU', 'units': 16, 'return_sequences': False, 'name': 'lay2', 'trainable': True}]","[0, 0, 2]",90,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35,1.0,1.0,0.5,False,[]
Trial32,0.9566,0.8977,0.9271,0.9292,"[{'type': 'GRU', 'units': 32, 'return_sequences': True, 'name': 'lay1', 'trainable': True}, {'type': 'GRU', 'units': 16, 'return_sequences': False, 'name': 'lay2', 'trainable': True}]","[0, 0, 2]",90,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35,1.0,1.0,1.0,False,[]
Trial33,0.9579,0.9025,0.9302,0.9321,"[{'type': 'GRU', 'units': 32, 'return_sequences': True, 'name': 'lay1', 'trainable': True}, {'type': 'GRU', 'units': 16, 'return_sequences': False, 'name': 'lay2', 'trainable': True}]","[0, 0, 2]",105,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35,1.0,1.0,0.5,False,[]
Trial34,0.9581,0.9003,0.9292,0.9309,"[{'type': 'GRU', 'units': 32, 'return_sequences': True, 'name': 'lay1', 'trainable': True}, {'type': 'GRU', 'units': 16, 'return_sequences': False, 'name': 'lay2', 'trainable': True}]","[0, 0, 2]",105,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35,1.0,1.0,1.0,False,[]
Trial35,0.9572,0.9019,0.9296,0.9313,"[{'type': 'GRU', 'units': 32, 'return_sequences': True, 'name': 'lay1', 'trainable': True}, {'type': 'GRU', 'units': 16, 'return_sequences': False, 'name': 'lay2', 'trainable': True}]","[0, 0, 2]",120,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35,1.0,1.0,0.5,False,[]
Trial36,0.957,0.9013,0.9291,0.9311,"[{'type': 'GRU', 'units': 32, 'return_sequences': True, 'name': 'lay1', 'trainable': True}, {'type': 'GRU', 'units': 16, 'return_sequences': False, 'name': 'lay2', 'trainable': True}]","[0, 0, 2]",120,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35,1.0,1.0,1.0,False,[]

